# Data for gas rich galaxies used in McGaugh, 2011,
# Phys. Rev. Lett., 106, 121303
#Galaxy   D    Vc  logMg errMg
#        Mpc  km/s  Msun  Msun
DDO210   0.94  17   6.64  0.20
CamB     3.34  20   7.33  0.20
UGC8215  4.5   20   7.45  0.20
DDO183   3.24  25   7.54  0.20
UGC8833  3.2   27   7.30  0.20
D564-8   6.5   29   7.32  0.13
DDO181   3.1   30   7.56  0.20
P51659   3.6   31   7.85  0.20
KK9824   7.83  35   7.93  0.20
UGCA92   3.01  37   8.32  0.20
D512-2  14.1   37   7.96  0.06
UGCA444  0.95  38   7.75  0.20
KK98251	 5.6   38   8.02  0.20
UGC7242  5.4   40   7.78  0.20
UGC6145  7.4   41   7.56  0.20
NGC3741  3.0   44   8.45  0.20
D500-3  18.5   45   7.94  0.05
D631-7   5.5   53   8.29  0.15
DDO168   4.3   54   8.74  0.20
KKH11    3.0   56   7.85  0.20
UGC8550  5.1   58   8.46  0.39
D575-2  12.2   59   8.62  0.07
UGC4115  7.5   59   8.58  0.20
UGC3851  3.2   60   9.09  0.20
UGC9211 12.6   64   9.21  0.41
NGC3109  1.3   66   8.79  0.20
UGC8055 17.4   66   9.02  0.20
D500-2  17.9   68   9.06  0.05
IC2574   4.0   68   9.20  0.20
UGC6818 18.6   72   9.28  0.20
UGC4499 13.0   74   9.32  0.29
NGC1560  3.45  77   9.23  0.20
UGC8490  4.65  78   8.96  0.20
UGC5721  6.5   79   9.05  0.39
F565-V2 48.    83   9.04  0.24
F571-V1 79.    83   9.33  0.22
IC2233  10.4   84   9.32  0.20
NGC2915  3.78  84   8.78  0.20
NGC5585  5.7   90   9.27  0.40
UGC3711  7.9   95   9.01  0.17
UGC6983 18.6  108   9.74  0.20
F563-V2 61.   111   9.63  0.21
F568-1  85.   118   9.87  0.22
F568-3  77.   120   9.71  0.22
F568-V1 80.   124   9.65  0.22
NGC2403  3.18 134   9.77  0.20
NGC3198 14.5  149  10.29  0.20
